location_source,item_id,item_code,mysql_item_name,real_stock_id,source_id,lot_status,lot_current_quantity,lot_reserved_quantity,location_id,location_floor_id,mysql_shelf,mysql_shelf_norm,location_name
lot,157135,157135,　カサベナサル　ゲヴルツトラミネール　モスカテル　７５０ｍｌ,31626,56269,ACTIVE,1,0,327,11,Z-0-0,Z00,デフォルト
lot,157137,157137,　シャトー　オーブランダ　７５０ｍｌ,51556,56195,ACTIVE,3,0,327,11,Z-0-0,Z00,デフォルト
default,157154,157154,　コンチャイトロ　フロンテラ　カベルネソーヴィニヨン７５０ｍｌ,,24562,,,,2671,10,YX-0-000,YX0000,YX0000
lot,157154,157154,　コンチャイトロ　フロンテラ　カベルネソーヴィニヨン７５０ｍｌ,31627,31467,ACTIVE,9,0,2671,10,YX-0-000,YX0000,YX0000
default,157160,157160,　ブシャールＰ＆Ｆ　コルトンシャルルマーニュ　’２１　７５０ｍｌ,,31452,,,,327,11,Z-0-0,Z00,デフォルト
lot,157160,157160,　ブシャールＰ＆Ｆ　コルトンシャルルマーニュ　’２１　７５０ｍｌ,31628,56214,ACTIVE,2,0,327,11,Z-0-0,Z00,デフォルト
default,157166,157166,　ロバートモンダヴィツインオークスカベルネソーヴィ二ヨン７５０ｍｌ,,17615,,,,1922,11,I-03-514,I03514,I03514
lot,157166,157166,　ロバートモンダヴィツインオークスカベルネソーヴィ二ヨン７５０ｍｌ,31629,31468,ACTIVE,9,0,1922,11,I-03-514,I03514,I03514
default,157197,157197,　ヌヴィアナ　テンプラニーリョ　カベルネ　７５０ｍｌ,,1624,,,,606,11,C-01-204,C01204,C01204
lot,157197,157197,　ヌヴィアナ　テンプラニーリョ　カベルネ　７５０ｍｌ,31630,31469,ACTIVE,6,0,606,11,C-01-204,C01204,C01204
default,157199,157199,　ヒューゲル　ゲヴュルツトラミネール　クラシック　７５０ｍｌ,,2503,,,,1929,11,I-04-104,I04104,I04104
lot,157199,157199,　ヒューゲル　ゲヴュルツトラミネール　クラシック　７５０ｍｌ,31631,31470,ACTIVE,10,0,1929,11,I-04-104,I04104,I04104
default,157201,157201,×ドルーアン　サンロマン　７５０ｍｌ,,7443,,,,327,11,Z-0-0,Z00,デフォルト
lot,157201,157201,×ドルーアン　サンロマン　７５０ｍｌ,31632,56270,ACTIVE,1,0,327,11,Z-0-0,Z00,デフォルト
default,157205,157205,　ヌヴィアナ　シャルドネ　７５０ｍｌ,,37578,,,,480,11,B-01-205,B01205,B01205
lot,157205,157205,　ヌヴィアナ　シャルドネ　７５０ｍｌ,31633,31471,ACTIVE,16,0,480,11,B-01-205,B01205,B01205
default,157231,157231,　キューザグランデ　トレビアーノダブルッツォ　７５０ｍｌ,,43040,,,,1960,11,I-04-316,I04316,I04316
lot,157231,157231,　キューザグランデ　トレビアーノダブルッツォ　７５０ｍｌ,31634,31472,ACTIVE,6,0,1960,11,I-04-316,I04316,I04316
default,157235,157235,　ブシャールＰ＆Ｆ　ジュヴレ　シャンベルタン　７５０ｍｌ,,43518,,,,1892,11,I-03-306,I03306,I03306
