item_code,parent_current_quantity,oracle_shelves,oracle_stock_shelves,mysql_default_shelves,mysql_nonzero_lot_shelves,issue
158136,5,,,Z00,Z00,mysql_location_but_oracle_no_shelf
158144,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
158147,,,,Z00,,mysql_location_but_oracle_no_shelf
158159,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
158199,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
158201,4,,,Z00,Z00,mysql_location_but_oracle_no_shelf
158293,-3,,,,Z00,mysql_location_but_oracle_no_shelf
158426,4,,,Z00,Z00,mysql_location_but_oracle_no_shelf
158717,2,,,,Z00,mysql_location_but_oracle_no_shelf
158973,15,,,Z00,Z00,mysql_location_but_oracle_no_shelf
158987,3,,,Z00,Z00,mysql_location_but_oracle_no_shelf
